County,start_col,end_col,avg_all_immunization_percent,avg_mmr_percent,,,,avg_varicella_percent,,,all,BC
Adams County,2,16,87.19749769,3.203446639,,,,5.99338119,,,mmr,BL
Asotin County,50,52,96.2269221,2.457953971,,,,2.913189176,,,varicella,BP
Benton County,69,127,89.08448003,1.916050495,,,,2.829747001,,,,
Chelan County,239,277,89.67811793,3.863748305,,,,4.466105354,,,,
Clallam County,352,377,77.16693081,4.92043784,,,,6.965546303,,,,
Clark County,424,560,78.00271494,6.581614482,,,,7.307890044,,,,
Columbia County,836,838,82.78370446,2.897188944,,,,2.958723833,,,,
Cowlitz County,847,889,88.94859652,3.928623453,,,,4.175396395,,,,
Douglas County,976,993,90.36297988,0.778779843,,,,0.989289984,,,,
Ferry County,1029,1038,78.90250411,5.280824672,,,,9.396746679,,,,
Franklin County,1058,1088,92.08076014,1.765188118,,,,1.989694534,,,,
Garfield County,1148,1148,88.9632107,1.003344482,,,,2.006688963,,,,
Grant County,1153,1203,90.31415318,2.018787545,,,,2.155908682,,,,
Island County,1305,1324,86.48858849,4.166046816,,,,5.293676161,,,,
Jefferson County,1372,1384,65.14837465,12.84611735,,,,15.30714499,,,,
King County,1415,2060,86.91495343,4.001027574,,,,5.017306286,,,,
Kitsap County,3333,3418,89.40299508,4.234540331,,,,5.747724905,,,,
Kittitas County,3592,3610,82.14491187,4.230955255,,,,4.613760133,,,,
Klickitat County,3650,3667,75.48910804,4.899979297,,,,6.124011469,,,,
Lewis County,3698,3740,88.35567873,2.787407335,,,,3.249073019,,,,
Lincoln County,3819,3834,88.27660261,3.49232063,,,,5.617903964,,,,
Mason County,3871,3889,80.9991954,3.597604986,,,,4.501582976,,,,
Okanogan County,3929,3955,84.09629834,5.868856679,,,,6.717816379,,,,
Pacific County,4011,4023,92.12230681,2.396578767,,,,4.168735486,,,,
Pierce County,4047,4304,89.20594389,3.02834808,,,,3.591692035,,,,
Skagit County,4829,4874,81.56108208,4.517178654,,,,6.153642158,,,,
Skamania County,4971,4974,83.6456212,4.89542943,,,,6.181119116,,,,
Snohomish County,4985,5185,85.66165484,4.19150494,,,,5.210713044,,,,
Spokane County,5591,5766,85.60929029,5.790103765,,,,7.195090267,,,,
Stevens County,6119,6149,69.37809877,13.1353201,,,,15.1295666,,,,
Thurston County,6207,6304,78.07828346,4.751325063,,,,5.669121921,,,,
Wahkiakum County,6501,6502,78.6800735,6.517966517,,,,7.482645978,,,,
Whatcom County,6507,6580,82.82642451,7.244259531,,,,8.47007492,,,,
Whitman County,6737,6763,88.3702915,3.149626261,,,,3.754816649,,,,
Yakima County,6813,6913,91.27392213,2.319084786,,,,2.560928826,,,,
