id,county,rural_urban,urban_influence,less_than_high_school,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017,id.1,school_name,school_year,k12_enrollment,all_immunizations,any_exempt,medical_exempt,personal_exempt,religious_exempt,religious_mem_exempt,diphtheria_tetanus,pertussis,mmr,polio,hepatitisB,varicella,school_district,start_grade,end_grade,total_enrollment,school_american_indian_alaskan_native,school_asian,school_asian_pacific_islander,school_pacific_islander,school_black,school_hispanic,school_white,school_two_or_more_race,male,female,num_free_reduced_meals,district_number,city,zip,school_code,total_percent_absences,low_income_absence_percent
20,klickitat,6,4,"1,925","4,274","3,972","4,194","5,789",786,"10,769","3,139",14.5,884,21.5,"9,586","8,844",742,"9,458","8,775",683,"9,642","8,993",649,10051,9465,586,"$55,282 ",77.9,20318,87.7,0.2,2.4,0.6,0.1,5.6,3.3,10.7,83.8,"41,105","42,782","43,104","44,825","46,733","48,086","49,543","51,314","51,979",1,bickleton elementary & high,2015,87,0,1,0,1,0,0,1,1,1,1,1,1,bickleton school district,0,12,84,0,1,0,1,2,23,55,3,43,41,17,20203,bickleton,99322,3392,0.61%,0.39%
38,whitman,4,5,"1,075","4,006","11,311","8,146","7,403","1,756","17,305","9,161",21.4,"1,043",14.2,"22,153","20,998","1,155","22,754","21,641","1,113","23,110","21,965","1,145",23465,22426,1039,"$44,913 ",63.3,44776,84.6,1.7,0.7,7.8,0.2,1.4,3.6,4.6,82.1,"32,037","31,062","31,396","32,570","43,091","42,218","43,379","49,946","48,665",3,colton,2015,167,0,3,0,3,0,0,3,3,2,2,2,2,colton school district,-1,12,164,0,4,0,4,2,2,150,6,84,80,40,38306,colton,99113,2588,0.41%,1.01%
27,pierce,1,1,"49,350","156,368","146,169","172,538","146,824","29,123","348,485","87,596",10.2,"24,504",12.1,"385,485","358,486","26,999","392,345","366,996","25,349","404,636","380,551","24,085",417219,394842,22377,"$69,027 ",97.3,795225,74.2,6.8,1.4,6,1.3,3.5,6.8,9.2,70.3,"56,555","55,531","56,114","57,162","57,238","59,998","59,566","61,042","65,246",10,pearl street center,2015,5,0,0,0,0,0,0,0,0,0,0,0,0,tacoma school district,6,12,11,0,1,2,3,0,1,7,0,5,6,7,27010,tacoma,98465,4283,0.92%,0.92%
32,spokane,2,2,"21,961","82,002","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17,"225,474","209,773","15,701","227,903","212,951","14,952","234,478","220,390","14,088",240421,227426,12995,"$53,438 ",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809",20,mcdonald elementary,2015,3466,309,24,2,20,1,1,16,16,17,16,12,21,central valley school district,-1,5,346,10,1,0,1,11,24,289,11,192,154,206,32356,spokane valley,99216,3127,0.49%,0.69%
19,kittitas,4,3,"2,337","6,298","9,207","7,489","10,100","1,366","18,955","6,185",14.2,"1,112",14.2,"20,200","18,801","1,399","20,847","19,544","1,303","21,533","20,265","1,268",22228,21048,1180,"$56,393 ",79.5,40915,89.3,0.9,1,2,0.1,3.7,3,7.6,86.1,"41,629","41,321","41,601","43,098","46,690","47,519","46,904","49,275","52,429",24,easton,2015,108,13,2,0,2,0,324,5,1,3,3,0,3,easton school district,0,12,111,4,0,0,0,1,25,80,1,55,56,69,19028,easton,98925,3554,0.57%,0.75%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",26,handicapped contractual services,2015,26,4,1,0,1,0,0,1,1,0,0,0,0,shoreline school district,-1,12,81,0,5,1,6,5,6,55,9,54,27,22,17412,shoreline,98155,1667,0.00%,0.00%
21,lewis,4,3,"6,686","16,428","8,204","9,654","21,992","2,503","34,149","11,610",15,"3,512",21.4,"30,544","27,780","2,764","31,232","28,588","2,644","31,915","29,452","2,463",33151,30948,2203,"$50,086 ",70.6,75455,89.7,0.5,1.4,0.9,0.2,4,3.2,8.7,86,"38,701","37,947","38,325","41,208","39,609","42,406","47,143","47,893","47,398",34,white pass elementary,2015,201,51,7,0,7,0,0,6,5,6,4,6,7,white pass school district,0,6,202,2,0,0,0,1,13,184,2,106,96,138,21303,randle,98377,3555,1.61%,2.01%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",36,northshore special services,2015,22,6,1,0,1,0,0,1,1,0,0,0,0,northshore school district,-1,12,102,1,15,0,15,2,20,54,10,65,37,1,17417,bothell,98021,1815,0.00%,0.00%
16,jefferson,6,6,"1,365","5,231","10,000","12,656","6,037","1,583","20,276","3,886",12.7,777,20.7,"11,196","10,299",897,"11,200","10,397",803,"11,507","10,703",804,12021,11285,736,"$53,364 ",75.2,29872,91,0.8,2.3,1.6,0.2,0.7,3.4,2.8,89.3,"45,225","43,814","44,348","46,651","46,957","50,161","52,887","54,864","54,786",37,quilcene high and elementary,2015,199,55,12,1,10,1,0,10,8,7,9,8,5,quilcene school district,-1,12,201,4,2,0,2,0,8,169,18,112,89,97,16048,quilcene,98376,2474,0.06%,0.03%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",38,northstar middle,2015,90,25,6,0,6,0,0,2,2,4,3,5,2,lake washington school district,6,8,90,0,27,0,27,0,5,52,6,47,43,3,17414,kirkland,98033,4167,0.11%,0.00%
