id,county,rural_urban,urban_influence,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017
1,Adams County,6,5,"3,675","1,436","1,299","3,083",262,"4,644","3,040",15.8,"1,406",20.5," 8,552 "," 7,941 ",611," 8,618 "," 8,018 ",600," 8,714 "," 8,158 ",556,8918,8404,514,"$48,056",67.7,18728,62.5,0.6,1.9,0.7,0,31.5,2.8,59.3,38.8,"41,102","40,656","41,068","42,354","43,541","45,712","47,646","49,501","50,089"
2,Asotin County,3,2,"1,610","3,402","3,134","5,741",861,"9,736","2,867",12.9,966,21.3," 9,707 "," 9,186 ",521," 9,679 "," 9,212 ",467," 9,964 "," 9,473 ",491,10262,9833,429,"$50,777",71.6,21623,94.3,0.4,1.4,0.5,0.2,0.8,2.4,3,92.6,"40,035","39,820","40,171","41,703","42,174","43,368","46,107","47,020","46,564"
3,Benton County,2,2,"12,628","36,834","26,360","47,194","6,473","80,027","23,587",12,"8,662",16.5," 89,907 "," 83,182 "," 6,725 "," 91,760 "," 85,591 "," 6,169 "," 94,291 "," 88,412 "," 5,879 ",97430,92070,5360,"$64,717",91.2,175177,82.4,1.3,0.9,2.7,0.1,9,3.6,18.7,74.5,"58,496","60,070","60,608","62,739","63,710","63,157","62,071","62,282","63,053"
4,Chelan County,3,2,"8,678","13,296","13,032","18,114","2,234","33,380","10,059",13.3,"3,058",17," 41,171 "," 38,639 "," 2,532 "," 42,636 "," 40,246 "," 2,390 "," 43,289 "," 40,840 "," 2,449 ",44518,42349,2169,"$57,284",80.7,72453,79.3,0.3,1,0.8,0.1,15.7,2.7,25.8,70.7,"46,780","45,478","46,275","47,265","51,713","50,825","53,068","55,109","53,388"
5,Clallam County,5,8,"4,447","13,910","17,677","18,794","2,986","39,457","12,090",16.4,"3,246",25.5," 26,738 "," 24,493 "," 2,245 "," 26,809 "," 24,621 "," 2,188 "," 27,313 "," 25,259 "," 2,054 ",27927,26023,1904,"$49,070",69.2,71404,87,0.8,5.1,1.4,0.1,1.8,3.8,5.1,84.6,"38,647","38,397","38,886","41,887","44,824","45,454","46,241","48,187","51,070"
6,Clark County,1,1,"24,507","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6," 209,309 "," 194,621 "," 14,688 "," 214,351 "," 200,483 "," 13,868 "," 220,790 "," 207,514 "," 13,276 ",227382,215782,11600,"$74,243",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618"
7,Columbia County,3,2,288,805,526,"1,497",159,"2,182",537,13.5,155,20.8," 1,740 "," 1,616 ",124," 1,695 "," 1,583 ",112," 1,719 "," 1,608 ",111,1766,1667,99,"$50,322",70.9,4078,93,0.3,1.4,0.6,0.3,1.7,2.7,6.2,89.5,"39,978","38,474","38,916","39,461","39,931","42,886","39,807","41,517","49,452"
8,Cowlitz County,3,2,"8,208","11,507","17,908","24,185","3,599","45,692","17,302",16.4,"5,044",21," 43,617 "," 40,102 "," 3,515 "," 44,124 "," 40,697 "," 3,427 "," 44,844 "," 41,668 "," 3,176 ",46010,43224,2786,"$50,617",71.3,102410,88.9,0.6,1.5,1.5,0.2,3.5,3.7,7.8,85.8,"40,572","40,867","41,406","42,752","43,409","39,635","49,997","48,208","49,420"
9,Douglas County,3,2,"4,844","4,834","4,918","9,603","1,022","15,543","5,578",13.4,"2,075",19.3," 19,328 "," 17,954 "," 1,374 "," 19,776 "," 18,503 "," 1,273 "," 20,536 "," 19,136 "," 1,400 ",21012,19812,1200,"$54,580",76.9,38431,79.6,0.3,1.1,0.7,0.1,15.6,2.6,28.7,67.8,"46,269","46,159","46,723","48,050","49,030","50,878","50,886","52,364","53,345"
10,Ferry County,9,12,725,972,"1,098","2,202",301,"3,601","1,297",17.3,345,26.9," 2,452 "," 2,173 ",279," 2,477 "," 2,223 ",254," 2,491 "," 2,237 ",254,2539,2259,280,"$43,665",61.6,7551,76.3,0.3,16.7,0.7,0.1,1.2,4.8,3.4,75,"38,284","36,712","36,921","37,548","39,596","41,343","40,340","42,330","42,157"
