SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,SchoolTypeCode,GradeSpan,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2834,A J West Elementary,P,PK-6      ,407,11,2.7,4,0.98,0,0,4,0.98,2,0.49,167,41.03,194,47.67,29,7.13,206,50.61,201,49.39,2,0.5,80,19.9,82,20.4,290,72.14,9,2.24,N<10,,13,14.6,24,77.42
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3216,Central Park Elementary,P,K-6       ,158,1,0.63,3,1.9,0,0,3,1.9,1,0.63,25,15.82,115,72.78,13,8.23,85,53.8,73,46.2,0,0,10,6.13,18,11.04,78,47.85,4,2.45,N<10,,11,20.4,12,85.71
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3857,Harbor High School,P,9-12      ,136,7,5.15,2,1.47,1,0.74,3,2.21,2,1.47,42,30.88,74,54.41,8,5.88,62,45.59,74,54.41,2,1.65,10,8.26,17,14.05,93,76.86,4,3.31,N<10,,14,13.8,6,60
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3154,Hopkins Elementary,P,PK-PK     ,58,0,0,0,0,1,1.72,1,1.72,0,0,17,29.31,34,58.62,6,10.34,32,55.17,26,44.83,0,0,0,0,83,100,60,72.29,0,0,10,12.05,8,18.4,6,85.71
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3476,J M Weatherwax High School,P,9-12      ,899,39,4.34,27,3,6,0.67,33,3.67,9,1,236,26.25,551,61.29,31,3.45,463,51.5,436,48.5,22,2.5,65,7.39,129,14.68,492,55.97,33,3.75,10,1.14,16,13.5,33,57.89
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2449,McDermoth Elementary,P,K-6       ,381,7,1.84,2,0.52,0,0,2,0.52,1,0.26,128,33.6,205,53.81,38,9.97,187,49.08,194,50.92,9,2.2,74,18.09,71,17.36,272,66.50,4,0.98,N<10,,14,11.7,11,40.74
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2305,Miller Junior High,P,7-8       ,478,30,6.28,13,2.72,0,0,13,2.72,7,1.46,131,27.41,273,57.11,24,5.02,225,47.07,253,52.93,8,1.68,25,5.25,64,13.45,333,69.96,12,2.52,12,2.52,17,13.6,18,64.29
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2763,Robert Gray Elementary,P,PK-6      ,345,8,2.32,2,0.58,1,0.29,3,0.87,1,0.29,141,40.87,166,48.12,26,7.54,165,47.83,180,52.17,21,6.23,72,21.36,50,14.84,254,75.37,4,1.19,11,3.26,13,17.5,20,76.92
2016-17,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2971,Stevens Elementary School,P,PK-6      ,497,17,3.42,15,3.02,0,0,15,3.02,6,1.21,174,35.01,244,49.09,41,8.25,263,52.92,234,47.08,12,2.31,105,20.23,98,18.88,363,69.94,3,0.58,13,2.5,15,14.7,19,57.58
2016-17,Capital Region ESD 113,21,Lewis,21226,Adna School District,2227,Adna Elementary School,P,PK-5      ,273,5,1.83,1,0.37,0,0,1,0.37,3,1.1,20,7.33,243,89.01,1,0.37,143,52.38,130,47.62,0,0,0,0,35,13.01,66,24.54,0,0,N<10,,16,11.4,10,58.82
2016-17,Capital Region ESD 113,21,Lewis,21226,Adna School District,2441,Adna Middle/High School,P,6-12      ,372,1,0.27,3,0.81,0,0,3,0.81,0,0,24,6.45,331,88.98,13,3.49,198,53.23,174,46.77,0,0,0,0,28,7.49,90,24.06,14,3.74,N<10,,16,18.5,19,82.61
2016-17,Educational Service District 101,22,Lincoln,22017,Almira School District,2860,Almira Elementary School,P,K-8       ,109,0,0,0,0,0,0,0,0,1,0.92,7,6.42,98,89.91,3,2.75,49,44.95,60,55.05,0,0,0,0,12,10.81,39,35.14,1,0.9,N<10,,9,20.5,11,91.67
2016-17,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2467,Anacortes High School,P,9-12      ,776,9,1.16,39,5.03,2,0.26,41,5.28,6,0.77,69,8.89,635,81.83,16,2.06,403,51.93,373,48.07,3,0.4,5,0.67,47,6.3,154,20.64,26,3.49,N<10,,18,17.3,31,73.81
2016-17,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2707,Anacortes Middle School,P,7-8       ,425,2,0.47,14,3.29,0,0,14,3.29,8,1.88,44,10.35,344,80.94,13,3.06,212,49.88,213,50.12,1,0.24,5,1.18,40,9.41,110,25.88,32,7.53,N<10,,19,16.1,20,90.91
2016-17,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,5176,Cap Sante High School,A,9-12      ,67,1,1.49,0,0,1,1.49,1,1.49,2,2.99,9,13.43,53,79.1,1,1.49,29,43.28,38,56.72,1,1.41,1,1.41,3,4.23,39,54.93,5,7.04,N<10,,34,14.1,2,100
