Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,County,Total population,Percent of total population - Race - One Race - White,Percent of total population - Race - One Race - Black or African American,Percent of total population - Race - One Race - American Indian and Alaska Native,Percent of total population - Race - One Race - Asian,Percent of total population - Race - One Race - Native Hawaiian and Other Pacific Islander,Percent of total population - Race - One Race - Some Other Race,Percent of total population - Race - Two or More Races,Percent of total population - Hispanic or Latino (of any race),"Percent of total population - White Alone, not Hispanic or Latino"
0400000US53,53,Washington,0400000US53,53,Washington,Washington,6724540,77.3,3.6,1.5,7.2,0.6,5.2,4.7,11.2,72.5
0400000US53,53,Washington,0500000US53001,53001,Washington - Adams County,Adams County,18728,62.5,0.6,1.9,0.7,0,31.5,2.8,59.3,38.8
0400000US53,53,Washington,0500000US53003,53003,Washington - Asotin County,Asotin County,21623,94.3,0.4,1.4,0.5,0.2,0.8,2.4,3,92.6
0400000US53,53,Washington,0500000US53005,53005,Washington - Benton County,Benton County,175177,82.4,1.3,0.9,2.7,0.1,9,3.6,18.7,74.5
0400000US53,53,Washington,0500000US53007,53007,Washington - Chelan County,Chelan County,72453,79.3,0.3,1,0.8,0.1,15.7,2.7,25.8,70.7
0400000US53,53,Washington,0500000US53009,53009,Washington - Clallam County,Clallam County,71404,87,0.8,5.1,1.4,0.1,1.8,3.8,5.1,84.6
0400000US53,53,Washington,0500000US53011,53011,Washington - Clark County,Clark County,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8
0400000US53,53,Washington,0500000US53013,53013,Washington - Columbia County,Columbia County,4078,93,0.3,1.4,0.6,0.3,1.7,2.7,6.2,89.5
0400000US53,53,Washington,0500000US53015,53015,Washington - Cowlitz County,Cowlitz County,102410,88.9,0.6,1.5,1.5,0.2,3.5,3.7,7.8,85.8
0400000US53,53,Washington,0500000US53017,53017,Washington - Douglas County,Douglas County,38431,79.6,0.3,1.1,0.7,0.1,15.6,2.6,28.7,67.8
0400000US53,53,Washington,0500000US53019,53019,Washington - Ferry County,Ferry County,7551,76.3,0.3,16.7,0.7,0.1,1.2,4.8,3.4,75
0400000US53,53,Washington,0500000US53021,53021,Washington - Franklin County,Franklin County,78163,60.5,1.9,0.7,1.8,0.1,31.8,3.2,51.2,43.2
0400000US53,53,Washington,0500000US53023,53023,Washington - Garfield County,Garfield County,2266,93.8,0,0.3,1.7,0,2.3,1.9,4,92.8
0400000US53,53,Washington,0500000US53025,53025,Washington - Grant County,Grant County,89120,72.8,1.1,1.2,0.9,0.1,20.4,3.5,38.3,57.3
0400000US53,53,Washington,0500000US53027,53027,Washington - Grays Harbor County,Grays Harbor County,72797,84.9,1.1,4.6,1.4,0.3,3.9,3.9,8.6,81.4
0400000US53,53,Washington,0500000US53029,53029,Washington - Island County,Island County,78506,86.1,2.2,0.8,4.4,0.5,1.5,4.5,5.5,83.1
0400000US53,53,Washington,0500000US53031,53031,Washington - Jefferson County,Jefferson County,29872,91,0.8,2.3,1.6,0.2,0.7,3.4,2.8,89.3
0400000US53,53,Washington,0500000US53033,53033,Washington - King County,King County,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8
0400000US53,53,Washington,0500000US53035,53035,Washington - Kitsap County,Kitsap County,251133,82.6,2.6,1.6,4.9,0.9,1.6,5.8,6.2,79.1
0400000US53,53,Washington,0500000US53037,53037,Washington - Kittitas County,Kittitas County,40915,89.3,0.9,1,2,0.1,3.7,3,7.6,86.1
0400000US53,53,Washington,0500000US53039,53039,Washington - Klickitat County,Klickitat County,20318,87.7,0.2,2.4,0.6,0.1,5.6,3.3,10.7,83.8
0400000US53,53,Washington,0500000US53041,53041,Washington - Lewis County,Lewis County,75455,89.7,0.5,1.4,0.9,0.2,4,3.2,8.7,86
0400000US53,53,Washington,0500000US53043,53043,Washington - Lincoln County,Lincoln County,10570,95,0.3,1.6,0.4,0,0.5,2.2,2.3,93.6
0400000US53,53,Washington,0500000US53045,53045,Washington - Mason County,Mason County,60699,86.1,1.1,3.7,1.2,0.4,3.4,4.1,8,82.9
0400000US53,53,Washington,0500000US53047,53047,Washington - Okanogan County,Okanogan County,41120,73.9,0.4,11.4,0.6,0.1,10.1,3.5,17.6,68.3
0400000US53,53,Washington,0500000US53049,53049,Washington - Pacific County,Pacific County,20920,87.4,0.4,2.3,2,0.1,4.4,3.4,8,84.6
0400000US53,53,Washington,0500000US53051,53051,Washington - Pend Oreille County,Pend Oreille County,13001,91.6,0.4,3.8,0.6,0.1,0.7,2.9,3,89.8
0400000US53,53,Washington,0500000US53053,53053,Washington - Pierce County,Pierce County,795225,74.2,6.8,1.4,6,1.3,3.5,6.8,9.2,70.3
0400000US53,53,Washington,0500000US53055,53055,Washington - San Juan County,San Juan County,15769,92.6,0.3,0.7,1.1,0.1,2.6,2.5,5.4,90.2
0400000US53,53,Washington,0500000US53057,53057,Washington - Skagit County,Skagit County,116901,83.4,0.7,2.2,1.8,0.2,8.7,3.2,16.9,76.7
0400000US53,53,Washington,0500000US53059,53059,Washington - Skamania County,Skamania County,11066,92.8,0.4,1.6,0.9,0.1,1.3,3,5,89.6
0400000US53,53,Washington,0500000US53061,53061,Washington - Snohomish County,Snohomish County,713335,78.4,2.5,1.4,8.9,0.4,3.8,4.6,9,74.3
0400000US53,53,Washington,0500000US53063,53063,Washington - Spokane County,Spokane County,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7
0400000US53,53,Washington,0500000US53065,53065,Washington - Stevens County,Stevens County,43531,89.4,0.3,5.5,0.5,0.2,0.7,3.3,2.7,87.9
0400000US53,53,Washington,0500000US53067,53067,Washington - Thurston County,Thurston County,252264,82.4,2.7,1.4,5.2,0.8,2.2,5.3,7.1,78.9
0400000US53,53,Washington,0500000US53069,53069,Washington - Wahkiakum County,Wahkiakum County,3978,94,0.3,1.3,0.6,0.2,0.7,3.1,2.7,92.5
0400000US53,53,Washington,0500000US53071,53071,Washington - Walla Walla County,Walla Walla County,58781,84.5,1.8,1,1.3,0.3,8,3.1,19.7,74.2
0400000US53,53,Washington,0500000US53073,53073,Washington - Whatcom County,Whatcom County,201140,85.4,1,2.8,3.5,0.2,3.3,3.8,7.8,81.9
0400000US53,53,Washington,0500000US53075,53075,Washington - Whitman County,Whitman County,44776,84.6,1.7,0.7,7.8,0.2,1.4,3.6,4.6,82.1
0400000US53,53,Washington,0500000US53077,53077,Washington - Yakima County,Yakima County,243231,63.7,1,4.3,1.1,0.1,26.1,3.7,45,47.7
