SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,BuildingNumber,School,SchoolTypeCode,GradeSpan,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2834,A J West Elementary,P,PK-6      ,405,8,1.98,3,0.74,0,0,3,0.74,3,0.74,181,44.69,185,45.68,25,6.17,205,50.62,200,49.38,9,2.22,74,18.23,81,19.95,278,68.47,8,1.97,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3216,Central Park Elementary,P,K-6       ,192,1,0.52,3,1.56,0,0,3,1.56,1,0.52,31,16.15,133,69.27,23,11.98,103,53.65,89,46.35,0,0,7,3.7,25,13.23,103,54.50,3,1.59,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3857,Harbor High School,P,9-12      ,105,5,4.76,1,0.95,1,0.95,2,1.9,1,0.95,33,31.43,56,53.33,8,7.62,52,49.52,53,50.48,0,0,7,7.22,15,15.46,59,60.82,8,8.25,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3154,Hopkins Elementary,P,PK-PK     ,57,1,1.75,0,0,0,0,0,0,0,0,18,31.58,30,52.63,8,14.04,34,59.65,23,40.35,0,0,0,0,72,100,59,81.94,4,5.56,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,3476,J M Weatherwax High School,P,9-12      ,945,48,5.08,32,3.39,4,0.42,36,3.81,13,1.38,269,28.47,539,57.04,40,4.23,468,49.52,477,50.48,18,2,67,7.43,142,15.74,430,47.67,33,3.66,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2449,McDermoth Elementary,P,K-6       ,387,9,2.33,2,0.52,0,0,2,0.52,2,0.52,114,29.46,217,56.07,43,11.11,188,48.58,199,51.42,8,2.09,61,15.93,66,17.23,230,60.05,7,1.83,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2305,Miller Junior High,P,7-8       ,483,19,3.93,10,2.07,0,0,10,2.07,4,0.83,145,30.02,277,57.35,28,5.8,237,49.07,246,50.93,9,1.87,45,9.36,73,15.18,336,69.85,12,2.49,N<10,,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2763,Robert Gray Elementary,P,PK-6      ,351,8,2.28,3,0.85,2,0.57,5,1.42,1,0.28,135,38.46,174,49.57,28,7.98,168,47.86,183,52.14,19,5.37,68,19.21,53,14.97,285,80.51,6,1.69,11,3.11,,0,0,
2017-18,Capital Region ESD 113,14,Grays Harbor,14005,Aberdeen School District,2971,Stevens Elementary School,P,PK-6      ,499,10,2,17,3.41,0,0,17,3.41,6,1.2,179,35.87,233,46.69,54,10.82,252,50.5,247,49.5,9,1.81,82,16.47,76,15.26,390,78.31,5,1,13,2.61,,0,0,
2017-18,Capital Region ESD 113,21,Lewis,21226,Adna School District,2227,Adna Elementary School,P,PK-5      ,265,4,1.51,0,0,0,0,0,0,3,1.13,13,4.91,243,91.7,2,0.75,126,47.55,139,52.45,0,0,0,0,33,12.09,72,26.37,0,0,N<10,,,0,0,
2017-18,Capital Region ESD 113,21,Lewis,21226,Adna School District,2441,Adna Middle/High School,P,6-12      ,380,1,0.26,5,1.32,0,0,5,1.32,0,0,24,6.32,336,88.42,14,3.68,190,50,190,50,0,0,0,0,34,8.97,102,26.91,11,2.9,N<10,,,0,0,
2017-18,Educational Service District 101,22,Lincoln,22017,Almira School District,2860,Almira Elementary School,P,K-8       ,109,0,0,0,0,0,0,0,0,0,0,8,7.34,92,84.4,9,8.26,47,43.12,62,56.88,0,0,0,0,13,11.61,39,34.82,1,0.89,N<10,,,0,0,
