District Code,District,School Code,School,Days In Year,Grade 1-8 Students,American Indian,Asian,Pacific Islander,Black,Hispanic,White,Two or More Races,Special Education,Bilingual,Low Income,Grade Span,Confirmed Reported Grade 1-8 Data
17410,Snoqualmie Valley,1502,Two Rivers School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jun,No
39202,Toppenish,1508,Computer Academy Toppenish High School,169,14.58%,33.58%,0.00%,0.00%,0.00%,3.72%,0.00%,0.00%,0.00%,4.38%,14.58%,12-Jun,Yes
31015,Edmonds,1520,Challenge Elementary,162,0.27%,0.00%,0.36%,0.00%,0.15%,0.22%,0.24%,0.25%,0.07%,0.62%,0.56%,K-6,Yes
17216,Enumclaw,1523,Special Ed School,164,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-12,Yes
17403,Renton,1534,Griffin Home,164,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Jun,Yes
17401,Highline,1539,CHOICE Academy,167,0.21%,0.00%,0.00%,0.00%,0.07%,0.67%,0.04%,0.12%,0.36%,1.20%,0.47%,12-Jul,Yes
31015,Edmonds,1558,Unassigned School,162,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-9,Yes
32081,Spokane,1567,Eagle Peak at Pratt,168,21.12%,19.64%,0.00%,4.76%,32.54%,35.12%,19.10%,17.54%,17.76%,7.74%,22.46%,12-Mar,Yes
6037,Vancouver,1574,Fir Grove Childrens Center,161,0.96%,0.00%,0.00%,0.00%,2.90%,0.81%,0.78%,2.17%,0.98%,0.00%,1.02%,K-12,Yes
17001,Seattle,1579,Tops K-8 School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-8,No
33115,Colville,1594,Panorama School,170,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.48%,PK-12,Yes
17001,Seattle,1596,Seattle World School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jun,No
32081,Spokane,1603,Daybreak Alternative School,168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Aug,Yes
32081,Spokane,1604,Alternative Tamarack School,168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Jul,Yes
29011,Concrete,1605,Twin Cedars High School,171,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Jul,Yes
2250,Clarkston,1617,Educational Opportunity Center,171,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Jul,Yes
17001,Seattle,1620,Pathfinder K-8 School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
17411,Issaquah,1624,Issaquah Special Services,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-12,Yes
17001,Seattle,1635,Interagency Programs,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jun,No
27003,Puyallup,1640,Phoenix Program,163,6.41%,0.00%,0.00%,0.00%,0.00%,9.20%,5.52%,6.75%,0.00%,0.00%,13.29%,K-12,Yes
31103,Monroe,1643,Out Of District Special Ed,163,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-11,Yes
6114,Evergreen (Clark),1646,49th Street Academy,163,2.61%,0.00%,0.61%,1.23%,0.00%,3.68%,2.20%,3.89%,2.40%,0.61%,3.24%,K-12,Yes
17403,Renton,1648,Out Of District Facility,164,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-12,Yes
17414,Lake Washington,1649,Contractual Schools,163,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
31025,Marysville,1656,10th Street School,166,0.31%,1.46%,0.10%,0.00%,0.00%,0.12%,0.30%,0.18%,0.60%,0.00%,0.64%,8-Jun,Yes
17414,Lake Washington,1658,Discovery School,163,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-5,Yes
17412,Shoreline,1667,Handicapped Contractual Services,158,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-12,Yes
5402,Quillayute Valley,1671,District Run Home School,167,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.60%,0.00%,0.17%,K-12,Yes
18400,North Kitsap,1677,Special Programs,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PK-12,No
15206,South Whidbey,1682,South Whidbey Academy,168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
15206,South Whidbey,1683,South Whidbey Special Services,168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PK-1,Yes
31015,Edmonds,1685,Maplewood Parent Coop,162,0.26%,0.00%,0.12%,0.00%,0.42%,0.18%,0.28%,0.18%,0.28%,0.45%,0.75%,K-8,Yes
17414,Lake Washington,1687,Explorer Community School,165,0.29%,0.00%,0.37%,0.00%,0.00%,0.00%,0.25%,0.20%,0.61%,0.61%,0.00%,5-Jan,Yes
17414,Lake Washington,1688,Emerson K-12,166,0.67%,0.00%,0.12%,0.00%,0.00%,0.45%,0.79%,0.40%,1.03%,2.41%,1.28%,K-12,Yes
6037,Vancouver,1689,Vancouver School of Arts and Academics,161,0.19%,0.41%,0.06%,0.00%,0.31%,0.47%,0.14%,0.29%,0.00%,0.00%,0.54%,12-Jun,Yes
18303,Bainbridge Island,1699,Odyssey Multiage Program,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,8-Jan,Yes
17414,Lake Washington,1706,International Community School,163,0.36%,0.00%,0.32%,0.00%,0.00%,0.18%,0.45%,0.23%,0.15%,1.84%,1.10%,12-Jun,Yes
5323,Sequim,1708,Sequim Community School,168,0.08%,0.00%,0.00%,0.00%,0.00%,0.06%,0.09%,0.00%,0.00%,0.00%,0.09%,PK-12,Yes
33036,Chewelah,1709,Chewelah Alternative,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Aug,No
32361,East Valley (Spokane),1712,Continuous Curriculum School,160,0.24%,0.00%,0.00%,0.00%,0.63%,0.26%,0.24%,0.31%,0.19%,0.00%,0.74%,K-8,Yes
34033,Tumwater,1713,Secondary Options,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12-Aug,Yes
31016,Arlington,1714,Stillaguamish School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-12,No
5121,Port Angeles,1715,Parents As Partners,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-8,Yes
18402,South Kitsap,1718,Explorer Academy,165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
16049,Chimacum,1724,PI Program,167,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
31201,Snohomish,1730,Snohomish Center,159,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
18400,North Kitsap,1733,Pal Program,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-12,No
18401,Central Kitsap,1740,Off Campus,167,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
4246,Wenatchee,1742,Valley Academy Of Learning,172,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
31025,Marysville,1744,School Home Partnership Program,166,1.69%,0.00%,0.00%,0.00%,0.00%,0.60%,1.88%,5.12%,0.00%,0.60%,2.25%,K-8,Yes
18100,Bremerton,1749,Bremerton Home Link Program,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-8,Yes
17001,Seattle,1750,Education Service Centers,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jun,No
17001,Seattle,1751,Cascade Parent Partnership Program,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-12,No
31004,Lake Stevens,1753,Homelink,166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-12,Yes
32363,West Valley (Spokane),1755,West Valley City School,180,0.15%,0.00%,0.00%,0.00%,0.83%,0.20%,0.14%,0.20%,0.44%,0.00%,0.25%,8-May,Yes
